Taxa,Taxonomy,Taxon
232e73f3e5a5a7d255848d60ec5358ff,Ascomycota,k__Fungi;p__Ascomycota;c__GS35;o__GS35_ord_Incertae_sedis;f__GS35_fam_Incertae_sedis;g__GS35_gen_Incertae_sedis;s__GS35_sp;sh__SH0966887.10FU
425e9e707f374ca9ba8886a9ee40b13f,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Humicola
d54cac0cfde6ac1cabc62fff4ff5c183,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Radulomycetaceae;g__Radulomycetaceae_gen_Incertae_sedis;s__Radulomycetaceae_sp;sh__SH0992068.10FU
e0c3c0f492a697d426a8a95a74ff9652,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactarius;s__Lactarius_argillaceifolius;sh__SH0875867.10FU
622a155a6a5da359662b5c2b02cff46e,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Hydnaceae;g__Membranomyces;s__Membranomyces_sp;sh__SH0739504.10FU
82ac1c4a878276490284531ed0ec9bba,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
0ac2df325632d4898d75c299424377fe,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Hypocreales_gen_Incertae_sedis;s__Hypocreales_sp;sh__SH0940997.10FU
eaf351258b5ece9e4ed62b88e96287e3,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricomycetes_ord_Incertae_sedis;f__Agaricomycetes_fam_Incertae_sedis;g__Agaricomycetes_gen_Incertae_sedis;s__Agaricomycetes_sp;sh__SH0991361.10FU
8082c9935b88585ffecd6fb73decbe76,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Cordycipitaceae;g__Beauveria;s__Beauveria_sp;sh__SH0914327.10FU
3bc415e60c057b9ee9ec05beab58bbc9,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
0158215a7fbc6851bda1d36c3b948053,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia_sp
4fdabc2187e40177e9d481e58e6f8e65,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
ac857747b53acce92eb218b1ad240d9d,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturiaceae_gen_Incertae_sedis;s__Venturiaceae_sp
262cd43cc41baed60df6455a9992ce89,Mucoromycota,k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_dimorpha;sh__SH0742488.10FU
2283638d65e54de5eaf4428895e87436,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula
4db3e74c51bb1afd554e606aa964f388,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Thelonectria;s__Thelonectria_spinulospora;sh__SH0983719.10FU
29803d6019cb5f0bb3b7556b54f4f732,Ascomycota,k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Scolecobasidium;s__Scolecobasidium_cordanae;sh__SH0931346.10FU
29669baca74d84cfb01893b1d705dd1c,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Geastraceae;g__Geastrum;s__Geastrum_sp;sh__SH0810862.10FU
c4bc023e0e574e9f02cbf4e33794b0f0,Ascomycota,k__Fungi;p__Ascomycota
74ffe3ab99fcb297c0f11bdba3e5f543,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Gyroporaceae;g__Gyroporus;s__Gyroporus_castaneus;sh__SH0879782.10FU
ec18d4933fee978750273ac91ecba635,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Onygenales_fam_Incertae_sedis;g__Onygenales_gen_Incertae_sedis;s__Onygenales_sp
0ebe31ad35ddf478d8d0505e882563da,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_sp;sh__SH0871047.10FU
757950842d0a6540c6aa3515c8881bd6,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_sp;sh__SH0966993.10FU
bf02a6b1c2ac3e0f75f87c75051c9fad,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_cerolens;sh__SH0817595.10FU
05ce07f07a5fef680af90a5374c7753e,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Clavicipitaceae;g__Marquandomyces;s__Marquandomyces_marquandii;sh__SH0879640.10FU
b996f0c1593824e809aaf2ae329c241c,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hymenogastraceae;g__Hebeloma
4cd703d27b7647bfcb9efc4a2a351df2,Ascomycota,k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Helotiales_gen_Incertae_sedis;s__Helotiales_sp
ade1613fa60cf4436393dc12cb24a9a2,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Trichomeriaceae;g__Knufia;s__Knufia_sp
e329e43d1fb5356be915b61dcdfacd60,Ascomycota,k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariomycetes_ord_Incertae_sedis;f__Sordariomycetes_fam_Incertae_sedis;g__Sordariomycetes_gen_Incertae_sedis;s__Sordariomycetes_sp;sh__SH0970191.10FU
68db8e67421c7e5122162efba813d196,Ascomycota,k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium
e700ceed3fd419c7a506f07058a88b08,Basidiomycota,k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__Russula_pseudoamoenicolor;sh__SH0826207.10FU
47ab56d88830b3c5c672fe0c921a7f1e,Ascomycota,k__Fungi;p__Ascomycota;c__Ascomycota_cls_Incertae_sedis;o__Ascomycota_ord_Incertae_sedis;f__Ascomycota_fam_Incertae_sedis;g__Ascomycota_gen_Incertae_sedis;s__Ascomycota_sp;sh__SH0748163.10FU
